iter	Passed	Remaining
544	22023	18386
545	22047	18332
546	22067	18275
547	22090	18220
548	22110	18163
549	22133	18109
550	22157	18056
551	22177	17999
552	22197	17942
553	22219	17888
554	22240	17832
555	22259	17775
556	22278	17718
557	22298	17663
558	22319	17607
559	22339	17552
560	22358	17496
561	22377	17440
562	22400	17386
563	22419	17331
564	22439	17276
565	22459	17221
566	22478	17166
567	22501	17113
568	22520	17058
569	22540	17004
570	22560	16949
571	22579	16895
572	22603	16844
573	22622	16789
574	22640	16734
575	22659	16679
576	22683	16629
577	22703	16575
578	22724	16523
579	22748	16472
580	22769	16420
581	22790	16368
582	22820	16322
583	22848	16275
584	22871	16224
585	22895	16175
586	22917	16124
587	22948	16079
588	22995	16046
589	23090	16045
590	23138	16012
591	23185	15979
592	23218	15936
593	23254	15894
594	23294	15855
595	23329	15813
596	23361	15769
597	23386	15721
598	23413	15673
599	23445	15630
600	23470	15581
601	23506	15540
602	23536	15495
603	23561	15447
604	23583	15397
605	23614	15353
606	23665	15322
607	23712	15288
608	23756	15252
609	23791	15210
610	23830	15171
611	23872	15134
612	23898	15087
613	23941	15051
614	23970	15005
615	24002	14962
616	24028	14915
617	24094	14893
618	24126	14849
619	24170	14814
620	24222	14782
621	24290	14761
622	24336	14726
623	24368	14683
624	24403	14642
625	24428	14594
626	24455	14548
627	24485	14503
628	24508	14455
629	24540	14412
630	24567	14366
631	24590	14318
632	24615	14271
633	24639	14223
634	24664	14177
635	24689	14130
636	24722	14088
637	24741	14038
638	24764	13990
639	24799	13949
640	24824	13903
641	24855	13860
642	24890	13819
643	24930	13781
644	25086	13807
645	25149	13781
646	25178	13737
647	25203	13690
648	25242	13652
649	25272	13608
650	25360	13595
651	25406	13560
652	25441	13519
653	25482	13481
654	25530	13447
655	25567	13407
656	25605	13367
657	25632	13322
658	25739	13318
659	25855	13319
660	25929	13298
661	25978	13263
662	26004	13218
663	26027	13170
664	26054	13125
665	26103	13090
666	26123	13042
667	26142	12992
668	26160	12943
669	26180	12894
670	26202	12847
671	26222	12798
672	26240	12749
673	26258	12700
674	26277	12652
675	26302	12606
676	26321	12558
677	26355	12516
678	26377	12469
679	26395	12421
680	26417	12374
681	26437	12327
682	26466	12283
683	26485	12235
684	26504	12188
685	26523	12140
686	26550	12096
687	26574	12051
688	26601	12007
689	26621	11960
690	26640	11913
691	26662	11866
692	26682	11820
693	26701	11773
694	26719	11725
695	26738	11678
696	26758	11632
697	26782	11587
698	26801	11541
699	26827	11497
700	26849	11452
701	26872	11407
702	26902	11365
703	26929	11322
704	26951	11277
705	26970	11231
706	26992	11186
707	27012	11140
708	27032	11095
709	27053	11049
710	27076	11005
711	27096	10960
712	27116	10915
713	27158	10878
714	27180	10834
715	27209	10792
716	27232	10748
717	27258	10706
718	27278	10660
719	27299	10616
720	27330	10575
721	27371	10539
722	27393	10495
723	27412	10450
724	27430	10404
725	27455	10361
726	27474	10317
727	27493	10272
728	27511	10227
729	27529	10182
730	27547	10137
731	27572	10094
732	27629	10064
733	27656	10022
734	27675	9978
735	27694	9933
736	27713	9889
737	27735	9846
738	27755	9802
739	27773	9758
740	27792	9714
741	27811	9670
742	27829	9626
743	27849	9582
744	27869	9539
745	27888	9495
746	27907	9451
747	27925	9407
748	27943	9364
749	27963	9321
750	27980	9277
751	28001	9234
752	28021	9191
753	28040	9148
754	28058	9105
755	28078	9062
756	28097	9019
757	28118	8977
758	28137	8934
759	28156	8891
760	28174	8848
761	28198	8807
762	28218	8765
763	28237	8722
764	28265	8682
765	28292	8642
766	28309	8599
767	28326	8557
768	28346	8514
769	28364	8472
770	28383	8430
771	28402	8388
772	28421	8346
773	28442	8304
774	28460	8262
775	28478	8220
776	28499	8179
777	28517	8137
778	28537	8095
779	28556	8054
780	28574	8012
781	28594	7971
782	28616	7930
783	28643	7891
784	28662	7850
785	28681	7808
786	28702	7768
787	28723	7727
788	28743	7686
789	28761	7645
790	28786	7606
791	28812	7566
792	28840	7528
793	28860	7487
794	28879	7446
795	28900	7406
796	28922	7366
797	28940	7325
798	28959	7285
799	28977	7244
800	29005	7206
801	29024	7165
802	29044	7125
803	29062	7084
804	29082	7044
805	29100	7004
806	29121	6964
807	29139	6924
808	29158	6884
809	29179	6844
810	29198	6804
811	29218	6764
812	29238	6725
